question,answer,region,channel,issue
(141) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(142) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(143) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(144) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(145) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(146) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(147) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(148) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(149) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(150) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(151) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(152) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(153) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(154) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(155) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(156) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(157) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(158) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(159) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(160) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(161) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(162) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(163) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(164) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(165) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(166) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(167) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(168) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(169) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(170) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(171) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(172) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(173) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(174) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(175) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(176) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(177) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(178) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(179) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(180) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(181) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(182) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(183) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(184) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(185) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(186) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(187) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(188) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(189) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(190) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(191) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(192) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(193) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(194) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(195) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(196) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(197) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(198) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(199) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(200) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(201) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(202) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(203) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(204) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(205) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(206) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(207) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(208) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(209) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(210) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(211) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(212) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(213) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(214) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(215) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(216) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(217) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(218) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(219) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(220) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(221) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(222) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(223) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(224) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(225) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(226) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(227) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(228) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(229) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(230) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(231) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(232) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(233) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(234) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(235) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(236) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(237) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(238) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(239) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(240) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(241) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(242) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(243) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(244) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(245) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(246) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(247) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(248) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(249) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(250) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(251) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(252) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(253) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(254) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(255) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(256) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(257) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(258) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(259) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(260) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(261) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(262) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(263) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(264) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(265) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(266) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(267) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(268) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(269) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(270) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(271) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(272) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(273) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(274) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(275) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(276) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(277) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(278) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(279) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(280) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
